game_id,game_name,review_id,author,author_id,score,content,device,spent,ups,downs,publish_time,sentiment,mentioned_games
4682,率土之滨,48361106,,,1,游戏真凉心😊，不充钱给的武将都是材料卡😃，骗你的，充钱也没有好武将😜，游戏对待萌新挺好的，拿着材料卡给大佬cos5级地😂，被打烂就受着😡，这游戏福利很好😃，每次活动都有高达几百虎符😍，这游戏太好玩了😋，祝游戏蒸蒸日上😡。(能不能把我氪的💰还给我😭，我后悔往里面充💰了😭😭😭)。,,玩过,0,0,1776185766,,
4682,率土之滨,48359642,,,5,好玩爱玩,,玩过,0,0,1776175153,,
4682,率土之滨,48359401,,,1,一般般,,玩过,0,0,1776173403,,
4682,率土之滨,48357682,,,5,可玩性比较强,,玩过,0,0,1776158761,,
4682,率土之滨,48357500,,,5,还是买买买,,玩过,0,0,1776157112,,
4682,率土之滨,48356150,,,1,抽卡系统恶心死了，强力的武将还分散在限时卡包里面。每次抽限时卡包的时候总是出一堆材料卡,,玩过,0,0,1776145961,,
4682,率土之滨,48350142,,,2,流浪军被剿灭原地刷新，不仅免战而且耐久回满，你告诉我怎么打。现在人家已经赖在洛阳了，集火剿灭然后原地刷新，正规军怎么玩。,,玩过,0,0,1776078376,,
4682,率土之滨,48350023,,,4,4.15<br />洛阳奖励第一名免费拉萨或者大理三日游<br />第二名就还是牦牛肉干10斤或者菌子同等价格的<br />第三名就是藏红花一年用量加1根虫草<br />然后 固定的是第一天开国的话上榜第一名月卡 第二名两个太史慈 第三名太史慈<br />第二天开国的话就是第一名两个太史慈 第二名第三名一个太史慈<br />一个太史慈等于6块<br />第一天攻城第一同样是一张月卡<br />铺路S1，一格一毛<br />翻要塞三毛,,玩过,0,0,1776077353,,
4682,率土之滨,48349467,,,5,好玩爱玩，氪了个128出了孙权，这新区比以前简单太多拉！！！,,玩过,0,0,1776072090,,
4682,率土之滨,48347736,,,5,新人玩家觉得很好玩,,玩过,0,0,1776057083,,
139546,三国志战略版,19166112,,,2,这游戏玩的贼无聊，前期还挺热闹人多，过了一个月基本没人了。抽卡还是那个鸟样，这游戏已经开始走下坡了，以前每天三个两个区，天天爆满，现在两个区一个鬼区一个一个月后成鬼区。可以体验一个赛季，后面就不要玩了，没任何体验，除非每个赛季氪个上万。,,玩过,0,0,1670711611,,
139546,三国志战略版,48339990,,,1,这种类型的游戏感觉纯是花钱找罪受，和传奇一样，不充钱就只能当氪佬的沙包,,玩过,0,0,1775979106,,
139546,三国志战略版,48327251,,,5,不知不觉玩了四年，微信里多了200多个三战好友，都是外交和盟里加的，偶尔翻翻朋友圈看看游戏里这些朋友的另一面，觉得也挺有意思的，尤其是一些妹子，照片那么软萌，游戏里外交的时候是真硬,,玩过,0,0,1775884286,,
139546,三国志战略版,48322319,,,5,过去一年，我觉得比较好的改动，希望策划能再接再厉<br />1.求贤累计，属实是未曾设想的道路了，我都没料到策划能这么良心。以前求贤值到上限了就不会再往上涨了，所以暂时没有自己想要的兑换武将的话多出来的求贤值就只能浪费的，现在不存在这个问题了<br />2.一键寻访，自动铺路。都是降肝，减少重复劳动的优化。说实话，以前大家热衷于手动铺路，一是口罩那几年实在无聊，二是金主实在太舍得花钱了。但到了后期各种铺路组通宵工作，开荒也搞得大家很累，就有点过犹不及了<br />3.送皮肤 what can i say 只能说老板大气<br />4.送武将/送赏金 yysy以后最好能多点曹操服这样的主题服（大胆预测一下。刘备服？诸葛亮服？孙权服？命名武将人手一张赛季体验卡哈哈哈），减轻大家前期凑阵容的负担<br />5.加强老将 这就无需多言了 最近的武将长青计划搞得也挺好的,,玩过,0,0,1775835631,,
139546,三国志战略版,48315495,,,4,典藏出sp马超了怎么说，还是得搏，不搏哪有别墅靠大海的机会,,玩过,0,0,1775791512,,
139546,三国志战略版,48312107,,,5,换了几个手机一直存在的游，可能不是最好玩的，但一定很经典,,玩过,0,0,1775748716,,
139546,三国志战略版,48305348,,,4,还行，心态佛系其实也没啥肝的，毕竟三战没有日常,,玩过,0,0,1775704378,,
139546,三国志战略版,48295967,,,5,三国游戏有些皮肤看着真舒服,,玩过,0,0,1775624338,,
139546,三国志战略版,48276935,,,4,五连出曹操了，快来吸欧气,,玩过,0,0,1775457513,,
139546,三国志战略版,48262976,,,5,年本的可玩性还是很高的，新剧本看爆料差点意思，不知道是不是玩法没展示全,,玩过,0,0,1775360143,,
82921,万国觉醒,48358438,,,5,就玩吧,,玩过,0,0,1776165846,,
82921,万国觉醒,48358041,,,5,万国觉醒非常非常非常非常非常非常好玩。,,玩过,0,0,1776162028,,
82921,万国觉醒,48358037,,,5,🎮可玩性：如果这世间单纯的仇恨、憎恶、咒骂有用，那还需要力量做什么？岂不闻天无绝人之路，只要我想走路就在脚下。,,玩过,0,0,1776161972,,
82921,万国觉醒,48305634,,,5,唉新手体验太差，对新手很不友好,,玩过,0,0,1775706344,,
82921,万国觉醒,48344185,,,5,要是进活跃的联盟会很好玩,,玩过,0,0,1776007430,,
82921,万国觉醒,48321189,,,5,游戏乐趣找到让你无法拒绝,,玩过,0,0,1775829549,,
82921,万国觉醒,48343500,,,5,很不错的策略游戏,,玩过,0,0,1776002827,,
82921,万国觉醒,48342124,,,5,还行，就是队伍出征时兵量是用手拉动的，不方便,,玩过,0,0,1775993755,,
82921,万国觉醒,48340781,,,5,好玩好玩，太好玩了,,玩过,0,0,1775984293,,
82921,万国觉醒,48340776,,,5,非常好的一款策略游戏,,玩过,0,0,1775984251,,
